,Sqft,Floor,TotalFloor,Bedroom,Living.Room,Bathroom,Cluster
0,1177.698,2,7,2,2,2,1
1,2134.8,5,7,4,2,2,0
2,1138.56,5,7,2,2,1,1
3,1458.78,2,7,3,2,2,0
4,967.776,11,14,3,2,2,1
5,1127.886,11,12,4,2,2,1
6,1352.04,5,7,3,2,1,0
7,757.854,5,14,1,0,1,1
8,1152.792,10,12,3,2,2,1
9,1423.2,4,5,4,2,2,0
10,668.904,4,11,1,1,1,1
11,711.6,4,7,2,1,1,1
12,1352.04,9,19,4,2,2,0
13,818.34,4,13,2,2,1,1
14,2134.8,10,19,3,2,2,0
15,2768.124,6,19,3,2,2,2
16,711.6,5,13,2,2,1,1
17,462.54,5,13,1,1,1,1
18,2739.66,6,19,3,2,2,2
19,1174.14,3,9,3,2,1,1
20,2490.6,19,21,5,3,4,0
21,2768.124,6,19,3,2,2,2
22,747.18,7,15,2,2,1,1
23,1668.702,4,12,3,2,2,0
24,3664.74,19,19,3,2,3,2
25,1779.0,10,12,4,2,2,0
26,3664.74,19,19,3,2,3,2
27,3059.88,21,24,4,2,3,2
28,533.7,3,4,1,1,1,1
29,853.92,6,7,2,1,1,1
30,1732.746,8,12,4,2,2,0
31,1245.3,10,12,3,0,0,1
32,2134.8,10,19,3,2,2,0
33,1206.162,7,7,2,2,1,1
34,861.036,5,12,2,2,1,1
35,462.54,3,4,1,1,1,1
36,434.076,5,12,2,2,1,1
37,768.528,4,4,3,2,2,1
38,3735.9,19,19,3,2,3,2
39,889.5,6,7,3,2,1,1
40,3063.438,21,24,5,2,4,2
41,925.08,10,14,2,1,1,1
42,1174.14,2,14,3,2,2,1
43,1352.04,1,4,4,2,2,0
44,1771.884,7,15,4,2,2,0
45,1601.1,6,7,4,2,2,0
46,1487.244,2,6,2,2,2,0
47,2277.12,2,25,3,2,2,0
48,3735.9,19,19,3,2,3,2
49,711.6,4,7,2,1,1,1
50,2241.54,7,13,4,2,2,0
51,1494.36,1,5,2,2,2,0
52,711.6,2,3,2,2,1,1
53,889.5,2,6,2,2,1,1
54,4643.19,1,6,5,4,4,2
55,2191.728,2,7,3,2,2,0
56,640.44,5,7,1,1,1,1
57,1067.4,12,12,3,2,2,1
58,640.44,2,6,2,2,1,1
59,1362.714,1,7,3,2,2,0
60,604.86,6,10,2,1,1,1
61,889.5,2,4,4,1,1,1
62,1423.2,5,7,3,2,2,0
63,1184.814,2,9,3,2,2,1
64,391.38,5,7,1,1,1,1
65,426.96,5,13,1,1,1,1
66,1067.4,4,5,3,2,1,1
67,533.7,2,7,2,1,1,1
68,462.54,6,14,1,1,1,1
69,1270.206,6,8,3,2,2,1
70,889.5,8,12,2,1,1,1
71,1284.438,6,12,3,2,2,1
72,1892.856,2,7,4,2,3,0
73,996.24,2,4,3,2,1,1
74,711.6,4,7,2,2,1,1
75,1754.094,3,7,3,2,2,0
76,2063.64,7,24,3,2,1,0
77,1522.824,5,12,4,2,2,0
78,1540.614,6,14,4,2,2,0
79,914.406,2,4,2,2,1,1
80,1558.404,5,7,4,2,2,0
81,772.086,6,7,2,1,1,1
82,711.6,8,9,2,2,1,1
83,747.18,5,9,2,2,2,1
84,1227.51,5,12,3,1,2,1
85,1451.664,2,5,3,3,2,0
86,3255.57,4,7,4,2,4,2
87,1779.0,7,12,4,2,2,0
88,1892.856,2,7,4,2,3,0
89,2312.7,7,15,4,2,2,0
90,1992.48,5,12,3,2,2,0
91,2063.64,5,7,4,2,2,0
92,1529.94,2,7,2,2,2,0
93,2145.474,5,6,4,2,2,0
94,2170.38,5,7,4,2,2,0
95,1771.884,4,7,4,2,2,0
96,1956.9,6,17,4,2,2,0
97,1743.42,3,7,4,2,2,0
98,1707.84,13,20,2,2,2,0
99,2063.64,5,7,4,2,2,0
100,2366.07,2,7,3,2,2,0
101,1814.58,2,16,3,2,2,0
102,2938.908,2,25,4,2,2,2
103,3173.736,3,9,3,2,3,2
104,2917.56,8,16,4,2,2,2
105,1786.116,3,6,4,2,3,0
106,3202.2,12,12,5,3,3,2
107,583.512,6,6,1,2,1,1
108,2099.22,7,15,4,2,2,0
109,2063.64,7,15,2,2,2,0
110,2099.22,7,15,4,2,2,0
111,857.478,6,9,4,2,2,1
112,2227.308,2,7,4,2,2,0
113,2088.546,8,19,3,2,2,0
114,1423.2,7,14,3,2,2,0
115,1569.078,6,7,3,2,2,0
116,3202.2,5,6,4,2,2,2
117,711.6,6,12,2,1,1,1
118,391.38,13,14,1,1,1,1
119,960.66,2,14,2,2,2,1
120,878.826,10,14,2,1,1,1
121,1280.88,10,12,3,2,2,1
122,2134.8,3,6,3,2,2,0
123,2149.032,5,6,4,2,2,0
124,2543.97,9,12,3,2,2,2
125,1206.162,7,7,2,2,1,1
126,1280.88,7,7,2,1,1,1
127,2067.198,4,14,4,2,2,0
128,1184.814,6,7,3,2,2,1
129,732.948,8,11,2,1,1,1
130,1529.94,6,12,3,2,2,0
131,1572.636,2,5,4,2,2,0
132,2540.412,18,18,4,2,2,2
133,1135.002,7,12,3,2,1,1
134,1544.172,5,16,3,2,2,0
135,1921.32,4,7,4,2,2,0
136,772.086,6,7,2,1,1,1
137,1754.094,3,7,3,2,2,0
138,2558.202,2,10,3,2,2,2
139,1195.488,10,16,3,2,2,1
140,3323.172,19,21,5,3,4,2
141,1223.952,6,7,4,2,2,1
142,1184.814,7,7,2,2,1,1
143,1223.952,3,7,3,2,2,1
144,1245.3,5,6,4,2,2,1
145,533.7,10,12,2,1,1,1
146,2028.06,6,15,4,2,2,0
147,4981.2,3,38,3,2,3,2
148,1245.3,6,7,3,2,2,1
149,1707.84,3,20,3,2,2,0
150,1779.0,10,13,4,2,2,0
151,1956.9,6,7,4,2,2,0
152,1779.0,2,7,4,2,2,0
153,889.5,10,14,2,1,1,1
154,996.24,11,14,3,2,2,1
155,1067.4,4,7,3,2,1,1
156,900.174,10,21,1,2,1,1
157,1704.282,3,6,3,2,2,0
158,1284.438,6,12,3,2,2,1
159,1565.52,2,6,3,2,1,0
160,1487.244,1,7,3,2,3,0
161,572.838,14,14,1,1,1,1
162,683.136,4,5,2,2,1,1
163,4091.7,2,15,3,2,4,2
164,1124.328,3,5,3,2,2,1
165,1789.674,10,12,4,2,2,0
166,1889.298,2,14,4,2,2,0
167,2205.96,4,15,3,2,2,0
168,1601.1,5,12,2,2,2,0
169,1085.19,12,19,2,2,1,1
170,1921.32,4,7,4,2,2,0
171,1707.84,9,15,3,2,2,0
172,2120.568,5,7,3,2,2,0
173,2782.356,12,13,3,2,3,2
174,914.406,2,4,2,2,1,1
175,1850.16,16,18,4,2,3,0
176,1889.298,2,14,4,2,2,0
177,1245.3,2,5,3,2,2,1
178,1494.36,2,7,2,2,2,0
179,1487.244,6,7,4,2,2,0
180,1690.05,7,14,3,2,2,0
181,796.992,3,12,2,2,2,1
182,3255.57,4,7,4,2,5,2
183,1063.842,3,7,2,1,1,1
184,1263.09,5,7,2,1,2,1
185,1352.04,5,5,3,2,2,0
186,1287.996,4,5,4,2,2,1
187,1167.024,3,12,3,2,2,1
188,1167.024,3,12,3,2,2,1
189,1839.486,2,13,1,0,1,0
190,796.992,3,12,2,2,1,1
191,601.302,2,9,1,1,1,1
192,2156.148,12,17,3,2,3,0
193,2138.358,11,14,4,2,2,0
194,1779.0,2,9,3,2,2,0
195,1779.0,8,15,3,2,2,0
196,1732.746,8,12,4,2,2,0
197,526.584,13,17,2,1,1,1
198,718.716,5,7,2,2,1,1
199,1601.1,3,7,3,2,2,0
200,1174.14,14,14,3,2,1,1
201,1408.968,9,9,2,2,2,0
202,1387.62,2,7,3,2,2,0
203,604.86,3,12,1,1,1,1
204,1380.504,6,13,3,2,2,0
205,2134.8,2,13,1,2,2,0
206,740.064,10,12,2,2,2,1
207,1031.82,5,12,2,2,2,1
208,1526.382,8,12,4,2,2,0
209,1601.1,1,4,3,2,2,0
210,1423.2,13,21,2,2,2,0
211,384.264,2,9,1,1,1,1
212,1996.038,5,12,3,2,2,0
213,718.716,5,7,2,2,1,1
214,1366.272,4,11,3,2,2,0
215,1743.42,3,12,3,2,2,0
216,1636.68,4,4,4,2,2,0
217,1903.53,8,13,3,2,2,0
218,668.904,5,6,2,1,1,1
219,2430.114,12,25,4,2,2,0
220,1298.67,7,7,2,2,1,1
221,2138.358,11,14,4,2,2,0
222,2963.814,2,25,4,2,2,2
223,533.7,14,16,1,1,1,1
224,2262.888,4,14,3,2,2,0
225,590.628,8,9,1,2,1,1
226,964.218,5,14,2,1,1,1
227,796.992,3,12,2,2,2,1
228,2408.766,6,13,4,2,3,0
229,1700.724,13,21,2,2,2,0
230,1672.26,3,7,3,2,2,0
231,1469.454,6,7,2,2,2,0
232,2067.198,4,14,4,2,2,0
233,1754.094,3,7,3,2,2,0
234,1757.652,4,16,4,2,2,0
235,587.07,5,7,1,1,1,1
236,1487.244,5,7,3,2,2,0
237,1487.244,5,7,3,2,2,0
238,789.876,7,9,1,1,1,1
239,2006.712,3,7,4,2,2,0
240,871.71,8,14,2,1,1,1
241,1522.824,11,11,4,2,3,0
242,3173.736,3,9,4,2,3,2
243,1899.972,21,27,4,2,2,0
244,2205.96,8,10,3,2,3,0
245,1106.538,3,12,1,2,1,1
246,2668.5,5,12,4,2,2,2
247,882.384,10,14,1,1,1,1
248,3255.57,4,7,4,2,5,2
249,2138.358,6,7,3,2,2,0
250,1579.752,4,15,3,1,2,0
251,2768.124,8,19,3,2,2,2
252,2081.43,10,17,2,2,2,0
253,1700.724,13,21,2,2,2,0
254,2134.8,6,7,3,2,2,0
255,718.716,5,12,2,1,1,1
256,754.296,5,7,2,1,1,1
257,1387.62,2,7,3,2,2,0
258,3558.0,1,5,2,2,2,2
259,1515.708,2,7,2,2,2,0
260,914.406,12,12,3,2,2,1
261,711.6,8,14,1,1,1,1
262,1487.244,2,6,2,2,2,0
263,2138.358,6,7,3,2,2,0
264,1127.886,4,5,3,2,2,1
265,1135.002,2,7,3,2,1,1
266,665.346,6,7,1,1,1,1
267,925.08,2,4,2,2,1,1
268,1209.72,3,4,3,2,2,1
269,1337.808,8,19,3,2,2,0
270,1366.272,4,11,4,2,2,0
271,2052.966,6,7,4,2,2,0
272,711.6,8,14,1,1,1,1
273,533.7,7,12,1,1,1,1
274,1138.56,4,5,3,2,2,1
275,1458.78,4,12,3,2,2,0
276,1245.3,5,7,2,2,2,1
277,1814.58,6,14,4,2,2,0
278,1515.708,4,7,2,2,2,0
279,811.224,5,12,2,1,1,1
280,359.358,12,12,1,1,1,1
281,1882.182,6,7,3,2,2,0
282,1419.642,6,12,4,2,2,0
283,1394.736,12,12,2,2,1,0
284,2063.64,3,6,4,2,3,0
285,1661.586,10,12,1,1,1,0
286,3504.63,13,14,2,2,2,2
287,1871.508,8,9,3,2,2,0
288,640.44,14,14,1,1,1,1
289,2430.114,5,25,3,2,2,0
290,1519.266,2,7,2,2,2,0
291,761.412,8,13,1,1,1,1
292,1903.53,8,13,2,2,2,0
293,1163.466,3,7,3,2,2,1
294,1779.0,4,4,4,2,2,0
295,1579.752,10,12,4,1,1,0
296,3145.272,2,25,4,2,2,2
297,3148.83,2,25,4,2,2,2
298,2700.522,15,21,5,2,4,2
299,3664.74,9,13,5,1,2,2
300,2134.8,2,6,3,2,2,0
301,1700.724,13,21,2,2,2,0
302,1380.504,6,13,3,2,2,0
303,2052.966,5,7,4,2,2,0
304,1871.508,11,12,4,2,2,0
305,1430.316,2,7,4,2,2,0
306,1579.752,4,15,3,1,2,0
307,1672.26,4,15,3,2,2,0
308,1270.206,3,14,2,2,1,1
309,1245.3,3,12,1,2,1,1
310,1458.78,4,6,2,1,2,0
311,1707.84,1,5,2,2,2,0
312,1515.708,2,7,2,2,2,0
313,1408.968,3,4,4,2,2,0
314,1476.57,6,6,3,2,2,0
315,1700.724,13,21,2,2,2,0
316,2590.224,7,7,4,3,3,2
317,2408.766,4,14,4,2,2,0
318,1779.0,10,10,3,2,2,0
319,2099.22,4,8,3,2,2,0
320,1206.162,7,7,2,2,1,1
321,989.124,13,13,2,2,1,1
322,3173.736,3,9,3,2,3,2
323,2444.346,7,15,4,2,3,0
324,722.274,11,13,2,1,1,1
325,1707.84,3,14,3,2,2,0
326,1444.548,6,7,2,2,1,0
327,2892.654,19,21,5,3,4,2
328,711.6,5,7,2,2,1,1
329,1423.2,13,21,2,2,2,0
330,1494.36,2,7,2,2,2,0
331,2184.612,2,9,3,2,2,0
332,601.302,2,9,1,1,1,1
333,3558.0,1,7,3,2,2,2
334,2102.778,6,12,3,2,2,0
335,1138.56,3,4,3,2,2,1
336,1579.752,3,12,5,1,1,0
337,1135.002,7,12,3,2,1,1
338,640.44,2,7,2,1,1,1
339,1515.708,2,6,3,2,2,0
340,747.18,9,12,2,2,1,1
341,754.296,5,14,2,2,1,1
342,2134.8,11,12,2,2,2,0
343,1490.802,3,12,2,1,2,0
344,1231.068,2,7,3,2,2,1
345,370.032,4,7,1,1,1,1
346,772.086,6,7,2,2,1,1
347,1622.448,1,6,3,2,2,0
348,925.08,2,4,2,1,1,1
349,818.34,5,9,1,2,1,1
350,1384.062,6,13,3,2,2,0
351,540.816,5,11,1,1,1,1
352,2561.76,10,17,4,2,3,2
353,1992.48,5,7,4,2,3,0
354,1031.82,11,14,3,2,2,1
355,2063.64,2,17,3,2,3,0
356,2312.7,7,16,5,2,3,0
357,2383.86,2,7,3,2,2,0
358,2134.8,5,7,4,2,2,0
359,2134.8,3,6,4,2,3,0
360,1423.2,3,12,3,2,2,0
361,1739.862,1,25,3,1,1,0
362,1191.93,3,7,3,2,2,1
363,711.6,6,14,1,1,1,1
364,658.23,4,4,1,1,1,1
365,537.258,22,26,1,0,1,1
366,1515.708,4,7,2,2,2,0
367,1732.746,8,12,4,2,2,0
368,640.44,8,9,1,2,1,1
369,925.08,2,4,2,1,1,1
370,718.716,5,12,2,2,1,1
371,426.96,9,12,1,0,1,1
372,658.23,9,12,2,2,1,1
373,1501.476,4,4,4,2,2,0
374,1771.884,4,7,4,2,2,0
375,1167.024,2,12,3,2,2,1
376,1252.416,8,12,3,2,2,1
377,1697.166,3,12,4,2,2,0
378,1167.024,2,12,3,2,2,1
379,2184.612,4,14,3,2,2,0
380,2170.38,9,15,4,2,2,0
381,1857.276,2,7,4,2,2,0
382,1996.038,5,12,3,2,2,0
383,1359.156,7,16,3,2,2,0
384,1586.868,3,7,3,2,2,0
385,2312.7,7,15,4,2,2,0
386,2227.308,2,5,5,2,2,0
387,893.058,8,14,2,2,1,1
388,1440.99,6,7,2,2,1,0
389,1263.09,5,7,2,2,2,1
390,1099.422,2,7,4,2,2,1
391,3255.57,4,7,4,2,5,2
392,1540.614,6,14,4,2,2,0
393,1366.272,10,12,3,2,2,0
394,1152.792,10,12,2,2,2,1
395,1544.172,10,12,4,2,2,0
396,1910.646,6,7,4,2,2,0
397,718.716,5,12,2,2,1,1
398,1487.244,6,7,3,2,2,0
399,1312.902,4,13,3,2,2,1
400,1255.974,4,16,3,2,2,1
401,2255.772,2,25,3,2,2,0
402,2052.966,5,7,4,2,2,0
403,1188.372,2,14,3,2,2,1
404,604.86,5,5,2,0,1,1
405,889.5,3,4,2,2,1,1
406,1067.4,1,6,3,2,2,1
407,1138.56,6,10,2,1,2,1
408,925.08,4,13,2,2,1,1
409,711.6,6,9,2,2,1,1
410,925.08,2,4,3,1,1,1
411,925.08,4,13,2,2,1,1
412,523.026,2,12,1,1,1,1
413,1529.94,2,12,2,2,1,0
414,836.13,8,12,2,1,1,1
415,789.876,7,9,1,1,1,1
416,1885.74,6,7,3,2,2,0
417,2782.356,12,13,3,2,3,2
418,711.6,5,7,3,2,2,1
419,469.656,7,7,1,1,1,1
420,793.434,11,14,2,1,1,1
421,1565.52,2,6,3,2,1,0
422,1366.272,4,11,4,2,2,0
423,1914.204,17,21,3,2,2,0
424,1889.298,2,14,4,2,2,0
425,1956.9,6,7,4,2,3,0
426,1992.48,4,15,3,2,2,0
427,3187.968,6,7,3,2,2,2
428,925.08,2,18,1,2,1,1
429,1067.4,4,7,3,2,2,1
430,1352.04,17,24,3,2,2,0
431,2063.64,15,15,3,2,2,0
432,796.992,3,12,2,2,2,1
433,949.986,5,12,2,1,1,1
434,2910.444,4,7,3,2,3,2
435,3010.068,4,11,3,2,2,2
436,768.528,6,7,1,1,1,1
437,772.086,3,7,2,2,1,1
438,1423.2,3,7,3,2,2,0
439,1380.504,2,12,3,2,2,0
440,448.308,2,12,1,1,1,1
441,1971.132,2,6,4,2,2,0
442,2052.966,5,7,4,2,2,0
443,1127.886,11,12,3,2,2,1
444,3241.338,7,7,2,2,3,2
445,1892.856,9,12,3,2,2,0
446,2138.358,4,7,4,2,3,0
447,1423.2,2,7,4,1,2,0
448,1754.094,3,7,4,2,2,0
449,925.08,2,4,2,2,1,1
450,1352.04,4,11,4,2,2,0
451,889.5,5,5,2,1,1,1
452,640.44,2,5,1,1,1,1
453,1423.2,3,4,4,2,2,0
454,651.114,8,11,3,2,2,1
455,1391.178,1,7,1,3,3,0
456,1487.244,6,7,3,2,2,0
457,1700.724,13,21,2,2,2,0
458,1515.708,6,7,4,2,2,0
459,1206.162,7,7,2,2,1,1
460,2052.966,5,7,4,2,2,0
461,1298.67,7,7,2,2,1,1
462,1444.548,2,5,4,2,2,0
463,2067.198,4,14,4,2,2,0
464,1227.51,2,7,3,2,2,1
465,1494.36,4,4,3,2,2,0
466,1366.272,4,11,4,2,2,0
467,2298.468,14,18,4,2,2,0
468,925.08,7,10,1,2,1,1
469,3842.64,15,16,3,1,2,2
470,1889.298,2,14,4,2,2,0
471,2063.64,3,6,4,2,2,0
472,1544.172,10,12,4,2,2,0
473,1273.764,5,13,3,2,2,1
474,1579.752,4,15,3,2,2,0
475,1672.26,10,12,2,1,2,0
476,1227.51,5,12,2,2,2,1
477,1401.852,2,6,3,2,3,0
478,569.28,9,9,2,2,1,1
479,2173.938,5,7,4,2,2,0
480,2213.076,2,14,4,2,2,0
481,2063.64,4,14,4,2,2,0
482,1707.84,9,15,3,2,2,0
483,900.174,4,7,2,2,2,1
484,1465.896,6,7,2,2,2,0
485,1316.46,4,13,3,2,2,1
486,740.064,6,14,1,1,1,1
487,754.296,2,9,1,1,1,1
488,1647.354,10,14,2,2,2,0
489,811.224,5,12,2,1,1,1
490,1487.244,8,12,4,2,2,0
491,1494.36,1,4,4,2,3,0
492,2914.002,5,15,3,2,2,2
493,1665.144,7,12,4,2,2,0
494,1732.746,8,12,4,2,2,0
495,853.92,8,14,2,1,1,1
496,1885.74,6,7,4,2,2,0
497,889.5,11,13,2,2,2,1
498,2455.02,12,25,4,2,2,0
499,1067.4,6,9,4,2,2,1
500,1102.98,2,9,3,2,2,1
501,3024.3,9,13,3,2,2,2
502,1102.98,2,4,3,1,2,1
503,1725.63,4,12,3,2,2,0
504,985.566,8,14,2,2,1,1
505,1102.98,3,7,3,2,2,1
506,1885.74,7,12,3,1,2,0
507,2028.06,12,12,5,1,1,0
508,540.816,5,11,2,1,1,1
509,590.628,8,9,2,1,1,1
510,2170.38,9,15,4,2,2,0
511,1992.48,5,12,3,2,2,0
512,960.66,4,5,3,2,2,1
513,843.246,2,18,1,1,1,1
514,1889.298,18,21,3,2,2,0
515,1487.244,6,7,3,1,2,0
516,587.07,5,7,1,1,1,1
517,1384.062,6,13,3,2,2,0
518,818.34,4,5,3,2,1,1
519,711.6,1,4,2,2,3,1
520,1074.516,7,10,3,1,2,1
521,391.38,7,14,1,2,1,1
522,1889.298,2,14,4,2,2,0
523,1031.82,4,16,3,2,2,1
524,1921.32,3,7,4,2,2,0
525,1387.62,4,4,3,2,2,0
526,1352.04,9,14,3,2,2,0
527,1433.874,5,6,3,2,2,0
528,462.54,13,14,1,1,1,1
529,3775.038,11,11,3,3,3,2
530,996.24,2,5,3,2,1,1
531,441.192,3,6,1,2,1,1
532,1757.652,6,7,4,2,3,0
533,1974.69,6,17,4,2,2,0
534,711.6,5,7,2,2,1,1
535,1825.254,5,7,3,2,2,0
536,1814.58,6,14,4,2,3,0
537,1426.758,3,12,3,2,2,0
538,469.656,9,12,1,1,1,1
539,1149.234,10,12,3,2,1,1
540,2309.142,16,21,4,2,4,0
541,1102.98,2,4,2,1,2,1
542,782.76,3,5,2,1,1,1
543,1352.04,9,13,3,2,2,0
544,1494.36,6,7,4,1,2,0
545,1245.3,5,6,3,2,2,1
546,1529.94,2,7,4,2,2,0
547,1569.078,10,12,2,2,2,0
548,1352.04,2,4,4,2,2,0
549,2141.916,7,19,4,2,2,0
550,1565.52,1,5,3,2,3,0
551,1885.74,2,7,4,2,2,0
552,1761.21,3,6,3,2,2,0
553,1761.21,3,6,4,2,2,0
554,889.5,11,18,2,2,1,1
555,2668.5,5,12,4,2,2,2
556,1334.25,5,11,3,2,2,0
557,925.08,1,4,2,2,1,1
558,878.826,10,14,1,1,1,1
559,1067.4,3,12,3,2,1,1
560,1423.2,11,12,2,2,2,0
561,1419.642,3,7,3,2,2,0
562,711.6,5,5,2,2,1,1
563,718.716,5,12,2,2,1,1
564,1956.9,9,12,4,2,2,0
565,1544.172,10,12,4,2,2,0
566,2383.86,1,7,5,3,3,0
567,2081.43,10,17,3,2,2,0
568,711.6,6,6,2,1,1,1
569,700.926,7,11,2,1,1,1
570,1181.256,1,4,3,2,2,1
571,498.12,11,14,2,1,1,1
572,5856.468,7,21,6,2,5,2
573,1245.3,8,8,3,2,2,1
574,868.152,3,5,3,2,1,1
575,533.7,7,7,1,1,1,1
576,693.81,2,7,1,1,1,1
577,1576.194,3,7,4,2,2,0
578,5760.402,9,15,3,2,3,2
579,796.992,3,12,2,2,1,1
580,2052.966,5,7,4,2,2,0
581,1163.466,2,7,3,2,2,1
582,1316.46,4,15,3,2,2,1
583,1099.422,4,12,2,2,1,1
584,1480.128,4,7,2,2,2,0
585,2739.66,5,21,4,2,2,2
586,800.55,3,4,2,2,1,1
587,676.02,6,7,2,1,1,1
588,964.218,4,4,3,2,1,1
589,1832.37,9,16,4,2,2,0
590,782.76,10,14,1,0,1,1
591,1551.288,5,5,4,2,2,0
592,1102.98,2,4,2,2,2,1
593,989.124,9,12,3,2,2,1
594,711.6,9,14,2,1,1,1
595,1458.78,6,7,3,2,2,0
596,1359.156,7,16,3,2,2,0
597,2063.64,5,9,4,2,2,0
598,846.804,14,14,2,2,1,1
599,1458.78,21,27,3,2,2,0
600,1127.886,4,5,3,2,2,1
601,1355.598,5,19,2,2,2,0
602,1892.856,5,12,4,2,2,0
603,1031.82,3,6,3,2,2,1
604,1707.84,5,7,3,2,2,0
605,640.44,9,12,2,1,1,1
606,1014.03,8,11,3,2,2,1
607,1067.4,6,14,3,2,1,1
608,711.6,8,12,1,2,1,1
609,996.24,4,5,3,2,1,1
610,2134.8,3,6,4,2,3,0
611,1647.354,11,14,4,2,2,0
612,1138.56,3,12,3,2,2,1
613,889.5,5,9,1,1,1,1
614,711.6,8,14,1,1,1,1
615,1857.276,2,14,3,2,2,0
616,1102.98,6,7,3,2,2,1
617,925.08,2,4,2,1,1,1
618,2312.7,11,14,3,2,2,0
619,925.08,4,9,3,2,2,1
620,711.6,1,1,3,1,1,1
621,4198.44,15,19,7,3,4,2
622,3095.46,1,6,4,2,3,2
623,2590.224,5,15,3,2,3,2
624,1885.74,8,13,3,2,2,0
625,1245.3,1,14,3,2,2,1
626,1174.14,10,12,3,2,2,1
627,1458.78,6,7,2,2,2,0
628,1305.786,9,12,3,2,2,1
629,1316.46,12,12,3,2,2,1
630,1167.024,2,12,3,2,2,1
631,996.24,3,5,3,1,1,1
632,1099.422,2,7,4,2,2,1
633,2042.292,6,18,2,2,2,0
634,843.246,2,18,1,1,1,1
635,1889.298,18,21,3,2,2,0
636,1266.648,6,7,3,2,2,1
637,1707.84,9,9,4,2,2,0
638,1707.84,9,15,3,2,2,0
639,2846.4,5,12,4,2,2,2
640,1359.156,7,15,3,2,2,0
641,377.148,4,10,1,1,1,1
642,740.064,13,14,1,1,1,1
643,1707.84,3,14,3,2,2,0
644,1376.946,6,7,3,2,1,0
